date,value
2021-01-13,960577000000.0
2021-01-20,932250000000.0
2021-01-27,934562000000.0
2021-02-03,993563000000.0
2021-02-10,937443000000.0
2021-02-17,956047000000.0
2021-02-24,909022000000.0
2021-03-03,966467000000.0
2021-03-10,928562000000.0
2021-03-17,914931000000.0
2021-03-24,883723000000.0
2021-03-31,943875000000.0
2021-04-07,967363000000.0
2021-04-14,923583000000.0
2021-04-21,905786000000.0
2021-04-28,859981000000.0
2021-05-05,891178000000.0
2021-05-12,887332000000.0
2021-05-19,922794000000.0
2021-05-26,892629000000.0
2021-06-02,942668000000.0
2021-06-09,929533000000.0
2021-06-16,945418000000.0
2021-06-23,893677000000.0
2021-06-30,934968000000.0
2021-07-07,891129000000.0
2021-07-14,907797000000.0
2021-07-21,889848000000.0
2021-07-28,876923000000.0
2021-08-04,891092000000.0
2021-08-11,866421000000.0
2021-08-18,908583000000.0
2021-08-25,862663000000.0
2021-09-01,916162000000.0
2021-09-08,888165000000.0
2021-09-15,888532000000.0
2021-09-22,889903000000.0
2021-09-29,935702000000.0
2021-10-06,940945000000.0
2021-10-13,944353000000.0
2021-10-20,923976000000.0
2021-10-27,914646000000.0
2021-11-03,929721000000.0
