date,value
2020-10-14,1427971000000.0
2020-10-21,1425531000000.0
2020-10-28,1407117000000.0
2020-11-04,1430742000000.0
2020-11-11,1409321000000.0
2020-11-18,1450879000000.0
2020-11-25,1385495000000.0
2020-12-02,1499841000000.0
2020-12-09,1452888000000.0
2020-12-16,1468550000000.0
2020-12-23,1444189000000.0
2020-12-30,1448899000000.0
2021-01-06,1534806000000.0
2021-01-13,1472472000000.0
2021-01-20,1405840000000.0
2021-01-27,1407321000000.0
2021-02-03,1449135000000.0
2021-02-10,1399996000000.0
2021-02-17,1410058000000.0
2021-02-24,1368104000000.0
2021-03-03,1402992000000.0
2021-03-10,1345030000000.0
2021-03-17,1307668000000.0
2021-03-24,1278511000000.0
2021-03-31,1330801000000.0
2021-04-07,1356981000000.0
2021-04-14,1329430000000.0
2021-04-21,1299223000000.0
2021-04-28,1266371000000.0
2021-05-05,1307355000000.0
2021-05-12,1307324000000.0
2021-05-19,1327737000000.0
2021-05-26,1335763000000.0
2021-06-02,1386134000000.0
2021-06-09,1358088000000.0
2021-06-16,1340570000000.0
2021-06-23,1308494000000.0
2021-06-30,1383329000000.0
2021-07-07,1338120000000.0
2021-07-14,1328672000000.0
2021-07-21,1342934000000.0
2021-07-28,1287790000000.0
2021-08-04,1357962000000.0
2021-08-11,1355738000000.0
2021-08-18,1373502000000.0
2021-08-25,1325471000000.0
2021-09-01,1384780000000.0
2021-09-08,1368062000000.0
2021-09-15,1397393000000.0
2021-09-22,1359892000000.0
2021-09-29,1362351000000.0
2021-10-06,1389655000000.0
2021-10-13,1391964000000.0
2021-10-20,1382161000000.0
2021-10-27,1365361000000.0
2021-11-03,1387895000000.0
