Date,SOFR,,,,
2/26/18,134,,,,
2/27/18,135,,,,
2/28/18,139,,,,
3/1/18,142,,,,
3/2/18,144,,,,
3/5/18,142,,,,
3/6/18,141,,,,
3/7/18,140,,,,
3/8/18,145,,,,
3/9/18,144,,,,
3/12/18,143,,,,
3/13/18,142,,,,
3/14/18,143,,,,
3/15/18,153,,,,
3/16/18,149,,,,
3/19/18,148,,,,
3/20/18,148,,,,
3/21/18,147,,,,
3/22/18,167,,,,
3/23/18,170,,,,
3/26/18,171,,,,
3/27/18,172,,,,
3/28/18,172,,,,
3/29/18,180,,,,
4/3/18,1.83,,,,
4/4/18,1.74,,,,
4/5/18,1.75,,,,
4/6/18,1.75,,,,
4/9/18,1.75,,,,
4/10/18,1.75,,,,
4/11/18,1.76,,,,
4/12/18,1.73,,,,
4/13/18,1.72,,,,
4/16/18,1.77,,,,
4/17/18,1.76,,,,
4/18/18,1.75,,,,
4/19/18,1.73,,,,
4/20/18,1.72,,,,
4/23/18,1.7,,,,
4/24/18,1.71,,,,
4/25/18,1.71,,,,
4/26/18,1.72,,,,
4/27/18,1.72,,,,
4/30/18,1.77,,,,
5/1/18,1.76,,,,
5/2/18,1.75,,,,
5/3/18,1.74,,,,
5/4/18,1.72,,,,
5/7/18,1.71,,,,
5/8/18,1.72,,,,
5/9/18,1.72,,,,
5/10/18,1.73,,,,
5/11/18,1.73,,,,
5/14/18,1.75,,,,
5/15/18,1.79,,,,
5/16/18,1.75,,,,
5/17/18,1.74,,,,
5/18/18,1.73,,,,
5/21/18,1.69,,,,
5/22/18,1.65,,,,
5/23/18,1.67,,,,
5/24/18,1.74,,,,
5/25/18,1.73,,,,
5/28/18,.,,,,
5/29/18,1.72,,,,
5/30/18,1.72,,,,
5/31/18,1.81,,,,
6/1/18,1.81,,,,
6/4/18,1.8,,,,
6/5/18,1.75,,,,
6/6/18,1.73,,,,
6/7/18,1.71,,,,
6/8/18,1.69,,,,
6/11/18,1.69,,,,
6/12/18,1.67,,,,
6/13/18,1.71,,,,
6/14/18,1.9,,,,
6/15/18,1.91,,,,
6/18/18,1.9,,,,
6/19/18,1.88,,,,
6/20/18,1.87,,,,
6/21/18,1.87,,,,
6/22/18,1.92,,,,
6/25/18,1.91,,,,
6/26/18,1.9,,,,
6/27/18,1.9,,,,
6/28/18,1.93,,,,
6/29/18,2.12,,,,
7/2/18,2.04,,,,
7/3/18,2,,,,
7/4/18,.,,,,
7/5/18,1.97,,,,
7/6/18,1.93,,,,
7/9/18,1.89,,,,
7/10/18,1.89,,,,
7/11/18,1.89,,,,
7/12/18,1.9,,,,
7/13/18,1.9,,,,
7/16/18,1.95,,,,
7/17/18,1.92,,,,
7/18/18,1.9,,,,
7/19/18,1.9,,,,
7/20/18,1.88,,,,
7/23/18,1.87,,,,
7/24/18,1.9,,,,
7/25/18,1.87,,,,
7/26/18,1.9,,,,
7/27/18,1.88,,,,
7/30/18,1.88,,,,
7/31/18,1.93,,,,
8/1/18,1.88,,,,
8/2/18,1.91,,,,
8/3/18,1.86,,,,
8/6/18,1.86,,,,
8/7/18,1.87,,,,
8/8/18,1.88,,,,
8/9/18,1.91,,,,
8/10/18,1.9,,,,
8/13/18,1.91,,,,
8/14/18,1.93,,,,
