"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread","Reserves"
"70",2015-12-30,0.35,0.5,0,6.28785856016178,28.0378309211262,29.9546101466211,30.0918296521922,-0.15,14.6102879050734
"71",2016-01-06,0.38,0.5,1,6.4085287910595,28.045788894378,29.9566883861211,30.0946637329604,-0.12,14.6102879050734
"72",2016-01-13,0.36,0.5,1,6.41999492814714,28.0223979661994,29.9566883861211,30.0916796501679,-0.14,14.706825577179
"73",2016-01-20,0.39,0.5,1,6.47543271670409,27.9984488371593,29.9592258377884,30.0909109163286,-0.11,14.706825577179
"74",2016-01-27,0.39,0.5,1,6.42648845745769,28.0067252028663,29.9592258377884,30.0919357910933,-0.11,14.6848614527575
"75",2016-02-03,0.4,0.5,1,6.49223983502047,28.0217221436015,29.9615566610058,30.0958495293512,-0.1,14.6848614527575
"76",2016-02-10,0.4,0.5,1,6.46614472423762,28.0338270122651,29.9615566610058,30.0973787743893,-0.1,14.7157101185606
"77",2016-02-17,0.4,0.5,1,6.50727771238501,28.0490844010347,29.9621178603649,30.0998184373119,-0.1,14.7157101185606
"78",2016-02-24,0.36,0.5,1,6.51025834052315,28.0608640026818,29.9621178603649,30.1013415700788,-0.14,14.7122012580184
"79",2016-03-02,0.35,0.5,1,6.52356230614951,28.0705750958269,29.9645739017843,30.1047435073421,-0.15,14.7122012580184
"80",2016-03-09,0.32,0.5,1,6.52941883826223,28.0769973412476,29.9645739017843,30.1055858158411,-0.18,14.73487775267
"81",2016-03-16,0.37,0.5,1,6.52209279817015,28.090983695957,29.9668980167913,30.1094515505991,-0.13,14.73487775267
"82",2016-03-23,0.29,0.5,1,6.48157712927643,28.1060215113318,29.9668980167913,30.1114625320155,-0.21,14.6974069270961
"83",2016-03-30,0.35,0.5,0,6.43454651878745,28.1146916762511,29.9668980167913,30.1126339315877,-0.15,14.6974069270961
"84",2016-04-06,0.34,0.5,1,6.49828214947643,28.1122223039796,29.9683728772789,30.1135748096186,-0.16,14.7093118883949
"85",2016-04-13,0.36,0.5,1,6.49978704065585,28.098531647362,29.9683728772789,30.1117354027977,-0.14,14.7093118883949
"86",2016-04-20,0.3,0.5,1,6.47697236288968,28.0852861627615,29.9707261453831,30.1120193252291,-0.2,14.700188427459
"87",2016-04-27,0.29,0.5,1,6.49978704065585,28.0692851364313,29.9707261453831,30.1099255336579,-0.21,14.700188427459
"88",2016-05-04,0.31,0.5,1,6.49677499018586,28.0543354973931,29.972196936263,30.1092777446253,-0.19,14.6831739124185
"89",2016-05-11,0.35,0.5,1,6.50128967054039,28.0503980939913,29.972196936263,30.1087742272629,-0.15,14.6831739124185
"90",2016-05-18,0.34,0.5,1,6.50578406012823,28.0517115720126,29.9723804209283,30.1091020392494,-0.16,14.6802452240874
"91",2016-05-25,0.28,0.5,1,6.50727771238501,28.0530242017536,29.9723804209283,30.1092698723172,-0.22,14.6802452240874
"92",2016-06-01,0.34,0.5,0,6.54821910276237,28.0523685316174,29.9737828183307,30.1104092103537,-0.16,14.6958822561379
"93",2016-06-08,0.38,0.5,1,6.53524127101366,28.0484237043485,29.9737828183307,30.1099063062793,-0.12,14.6958822561379
"94",2016-06-15,0.42,0.5,1,6.53378883793334,28.0411512039449,29.9760856511939,30.1109956126299,-0.08,14.6932787329174
"95",2016-06-22,0.42,0.5,1,6.44888939414686,28.0371616506848,29.9760856511939,30.1104929861451,-0.08,14.6932787329174
"96",2016-06-29,0.49,0.5,0,6.46925031679577,28.0351606377019,29.9760856511939,30.1102415465292,-0.01,14.6286059839767
"97",2016-07-06,0.36,0.5,1,6.53233429222235,28.0418135984779,29.9767492846023,30.1116590896855,-0.14,14.6286059839767
"98",2016-07-13,0.38,0.5,1,6.52795791762255,28.0510547937952,29.9767492846023,30.112830097016,-0.12,14.656737168412
"99",2016-07-20,0.32,0.5,1,6.48920493132532,28.060862085849,29.9793937663291,30.1163887416675,-0.18,14.656737168412
"100",2016-07-27,0.35,0.5,1,6.48768401848461,28.0641094889617,29.9793937663291,30.1168050808297,-0.15,14.6602558776753
"101",2016-08-03,0.4,0.5,1,6.56667242980324,28.0692837930878,29.9794312542497,30.1175035544175,-0.1,14.6602558776753
"102",2016-08-10,0.35,0.5,1,6.52502965784346,28.0795532416936,29.9794312542497,30.1188338849751,-0.15,14.6749705870012
"103",2016-08-17,0.39,0.5,1,6.5410299991899,28.0941490890568,29.9807480021415,30.1218885520035,-0.11,14.6749705870012
"104",2016-08-24,0.35,0.5,1,6.52502965784346,28.1072623185027,29.9807480021415,30.1236245419033,-0.15,14.6690953285369
"105",2016-08-31,0.46,0.5,0,6.53958595561767,28.1214471486293,29.9807578857139,30.1255332976449,-0.04,14.6690953285369
"106",2016-09-07,0.35,0.5,1,6.54821910276237,28.1263341508623,29.9807578857139,30.126193378703,-0.15,14.6788856274918
"107",2016-09-14,0.4,0.5,1,6.6052979209482,28.1263346841307,29.9807578857139,30.1261934508832,-0.1,14.6788856274918
"108",2016-09-21,0.34,0.5,1,6.56807791141198,28.1232830035908,29.9831399091625,30.1278417240327,-0.16,14.5985578557499
"109",2016-09-28,0.64,0.5,1,6.4831073514572,28.1214471894741,29.9831399091625,30.1275945999932,0.14,14.5985578557499
"110",2016-10-05,0.5,0.5,1,6.52209279817015,28.129983949489,29.9830219929797,30.1286451577011,0,14.5405686268103
"111",2016-10-12,0.37,0.5,1,6.5510803350434,28.1420535728231,29.9830219929797,30.1302893500532,-0.13,14.5405686268103
"112",2016-10-19,0.3,0.5,1,6.5410299991899,28.1610676892019,29.9854935837224,30.1350424571499,-0.2,14.5595409488388
"113",2016-10-26,0.38,0.5,1,6.56526497003536,28.1768342492405,29.9854935837224,30.1372474128835,-0.12,14.5595409488388
"114",2016-11-02,0.34,0.5,1,6.56244409369372,28.1923559707928,29.9851350916905,30.1391401706326,-0.16,14.5771706948703
"115",2016-11-09,0.36,0.5,1,6.53087762772588,28.2104456876678,29.9851350916905,30.1417422649112,-0.14,14.5771706948703
"116",2016-11-16,0.31,0.5,1,6.56244409369372,28.2353429764257,29.985459525447,30.1456664219857,-0.19,14.5806685846741
"117",2016-11-23,0.26,0.5,1,6.49677499018586,28.2526777928886,29.985459525447,30.1482515644672,-0.24,14.5806685846741
"118",2016-11-30,0.27,0.5,0,6.54391184556479,28.2585684457265,29.9854423684392,30.1491241811276,-0.23,14.5670832381607
"119",2016-12-07,0.26,0.5,1,6.5191472879404,28.2532151828388,29.9854423684392,30.1483177378518,-0.24,14.5670832381607
"120",2016-12-14,0.26,0.75,0,6.55677835615804,28.243506134597,29.9854423684392,30.1468644453605,-0.49,14.5481923447156
"121",2016-12-21,0.46,0.75,1,6.3919171133926,28.2304128300009,29.9879080078511,30.1470260548075,-0.29,14.5481923447156
"122",2016-12-28,0.54,0.75,1,6.40025744530882,28.2282135219476,29.9879080078511,30.1467028303492,-0.21,14.4568253514839
"123",2017-01-04,0.55,0.75,1,6.45362499889269,28.2287636551228,29.9882508355865,30.1470760991456,-0.2,14.4568253514839
"124",2017-01-11,0.51,0.75,1,6.4707995037826,28.2260097993119,29.9882508355865,30.1466721575792,-0.24,14.5613388943863
"125",2017-01-18,0.62,0.75,1,6.5424719605068,28.2193690492345,29.9910025642189,30.1480532986495,-0.13,14.5613388943863
"126",2017-01-25,0.53,0.75,1,6.48768401848461,28.2070784299349,29.9910025642189,30.1462763433497,-0.22,14.5743574602074
"127",2017-02-01,0.56,0.75,0,6.53378883793334,28.19747650296,29.990945951081,30.1448525271585,-0.19,14.5743574602074
"128",2017-02-08,0.51,0.75,1,6.51767127291227,28.1917852624192,29.990945951081,30.1440426616985,-0.24,14.61922233941
"129",2017-02-15,0.55,0.75,1,6.55819780281227,28.2121253659804,29.9925467235062,30.1483250254241,-0.2,14.61922233941
"130",2017-02-22,0.5,0.75,1,6.50428817353665,28.204264713604,29.9925467235062,30.1471949242212,-0.25,14.626584319433
"131",2017-03-01,0.5,0.75,0,6.5366915975913,28.1923565273208,29.9931047730681,30.1459762782084,-0.25,14.626584319433
"132",2017-03-08,0.5,0.75,1,6.51323011091231,28.1721887920865,29.9931047730681,30.1431419236758,-0.25,14.6708025230385
"133",2017-03-15,0.53,1,0,6.59167373200866,28.1348290921653,29.9955515952748,30.1401368407385,-0.47,14.6708025230385
"134",2017-03-22,0.75,1,1,6.49375383985169,28.1593013900608,29.9955515952748,30.1434663665969,-0.25,14.6528329714686
"135",2017-03-29,0.76,1,1,6.43133108193348,28.1721896453399,29.9955515952748,30.1452483222012,-0.24,14.6528329714686
"136",2017-04-05,0.78,1,1,6.53524127101366,28.1946365771247,29.9959031035793,30.1487011535819,-0.22,14.6467369615732
"137",2017-04-12,0.8,1,1,6.57646956904822,28.2182734192516,29.9959031035793,30.1520845888028,-0.2,14.6467369615732
"138",2017-04-19,0.8,1,1,6.62140565176413,28.2193836251116,29.9983862398974,30.1543693213108,-0.2,14.6445823276681
"139",2017-04-26,0.8,1,1,6.61338421837956,28.2008907699187,29.9983862398974,30.1517195026865,-0.2,14.6445823276681
"140",2017-05-03,0.78,1,1,6.64898455002478,28.1860762602062,29.9988822100143,30.1500532337811,-0.22,14.6053710244237
"141",2017-05-10,0.76,1,1,6.58617165485467,28.1872234810449,29.9988822100143,30.150214267505,-0.24,14.6053710244237
"142",2017-05-17,0.79,1,1,6.65157187358973,28.1883698113793,29.9997912190685,30.1511566088308,-0.21,14.6181263045765
"143",2017-05-24,0.79,1,1,6.62539236800796,28.1895003369593,29.9997912190685,30.151315486892,-0.21,14.6181263045765
"144",2017-05-31,0.9,1,0,6.64248680136726,28.1894998318711,30.0003444666584,30.1517908937325,-0.1,14.6250923098556
"145",2017-06-07,0.85,1,1,6.68210859744981,28.2025718504289,30.0003444666584,30.153638336069,-0.15,14.6250923098556
"146",2017-06-14,0.93,1.25,0,6.65286302935335,28.2020075137338,30.0003444666584,30.1535581505849,-0.32,14.6229984115988
"147",2017-06-21,1.02,1.25,1,6.67076632084587,28.180881853183,30.0029602770515,30.1528355524627,-0.23,14.6229984115988
"148",2017-06-28,1.04,1.25,1,6.55535689181067,28.1721887762542,30.0029602770515,30.1516301270832,-0.21,14.5667101137727
"149",2017-07-05,1.05,1.25,1,6.63856778916652,28.1721885821344,30.0035638478131,30.1521503116031,-0.2,14.5667101137727
"150",2017-07-12,1.01,1.25,1,6.57368016696065,28.1750940631836,30.0035638478131,30.152551987191,-0.24,14.6208388906668
"151",2017-07-19,1.01,1.25,1,6.62406522779989,28.1808811022356,30.0063831180148,30.1557825835121,-0.24,14.6208388906668
"152",2017-07-26,1.04,1.25,1,6.60258789218934,28.1894994219767,30.0063831180148,30.1569830384813,-0.21,14.6379037118422
"153",2017-08-02,1.01,1.25,1,6.61740297797448,28.2065161333742,30.0069403850763,30.1598578260005,-0.24,14.6379037118422
"154",2017-08-09,1.01,1.25,1,6.61873898351722,28.2121250441704,30.0069403850763,30.1606550831266,-0.24,14.6632401822709
"155",2017-08-16,1.09,1.25,1,6.65929391968364,28.2065168368006,30.0080217109584,30.1607859912701,-0.16,14.6632401822709
"156",2017-08-23,1.02,1.25,1,6.62539236800796,28.2037012080267,30.0080217109584,30.1603875885165,-0.23,14.6750586483767
"157",2017-08-30,1.03,1.25,0,6.61606518513282,28.1980453139859,30.0080217109584,30.159590202303,-0.22,14.6750586483767
"158",2017-09-06,1.03,1.25,1,6.64509096950564,28.2121264160289,30.0080261818333,30.1615864392005,-0.22,14.6752440599571
"159",2017-09-13,1.05,1.25,1,6.65544035036765,28.2282156407007,30.0080261818333,30.163892617727,-0.2,14.6752440599571
"160",2017-09-20,1.01,1.25,1,6.61338421837956,28.2048295213029,30.0107145846396,30.1628594976892,-0.24,14.6276644696043
"161",2017-09-27,1.01,1.25,1,6.55535689181067,28.2110077205223,30.0107145846396,30.1637337820332,-0.24,14.6276644696043
"162",2017-10-04,1.02,1.25,1,6.62406522779989,28.2199269183071,30.0114580223792,30.1656413289932,-0.23,14.6070798893019
"163",2017-10-11,1.03,1.25,1,6.65672652417839,28.2315133910709,30.0114580223792,30.1673051066133,-0.22,14.6070798893019
"164",2017-10-18,1.05,1.25,1,6.63068338564237,28.2347993055827,30.0141372297119,30.1700718905718,-0.2,14.6320087994724
"165",2017-10-25,1.05,1.25,1,6.65286302935335,28.2407954439785,30.0141372297119,30.1709398664318,-0.2,14.6320087994724
"166",2017-11-01,1.08,1.25,0,6.67456139181443,28.2760363985643,30.0141009475686,30.1761011171376,-0.17,14.638620521228
"167",2017-11-08,1.08,1.25,1,6.65157187358973,28.2869938507333,30.0141009475686,30.1777475572761,-0.17,14.638620521228
"168",2017-11-15,1.16,1.25,1,6.67959918584438,28.2978319468385,30.0155605020749,30.1806285265754,-0.0900000000000001,14.6648410654097
"169",2017-11-22,1.04,1.25,1,6.64248680136726,28.3060113287385,30.0155605020749,30.1818774575358,-0.21,14.6648410654097
"170",2017-11-29,1.01,1.25,0,6.67076632084587,28.3090615507359,30.0155605020749,30.182345423249,-0.24,14.6527550521904
"171",2017-12-06,1.07,1.25,1,6.67959918584438,28.3095687060766,30.0157109110851,30.1825506433231,-0.18,14.6527550521904
"172",2017-12-13,1.05,1.5,0,6.72383244082121,28.2838734506051,30.0157109110851,30.178644867021,-0.45,14.6531316058031
"173",2017-12-20,1.34,1.5,1,6.67456139181443,28.2875108646369,30.018562488492,30.1816146365372,-0.16,14.6531316058031
"174",2017-12-27,1.37,1.5,1,6.63331843328038,28.2947459154372,30.018562488492,30.1827065234617,-0.13,14.5686600490981
"175",2018-01-03,1.4,1.5,1,6.7093043402583,28.2812668026095,30.0193016475842,30.1813062597125,-0.1,14.5686600490981
"176",2018-01-10,1.28,1.5,1,6.72503364216684,28.2968039426803,30.0193016475842,30.1836454448623,-0.22,14.6226103363002
"177",2018-01-17,1.38,1.5,1,6.72262979485545,28.3070288869186,30.0224080872684,30.1878339551664,-0.12,14.6226103363002
"178",2018-01-24,1.35,1.5,1,6.71538338633468,28.3075500551473,30.0224080872684,30.1879134338355,-0.15,14.6072747175636
"179",2018-01-31,1.38,1.5,0,6.75110146893676,28.3075379159598,30.0233119230987,30.1886776059378,-0.12,14.6072747175636
"180",2018-02-07,1.28,1.5,1,6.71295620067707,28.302441260421,30.0233119230987,30.1879024684361,-0.22,14.6261682926164
"181",2018-02-14,1.3,1.5,1,6.70563909486,28.3075383740652,30.0233119230987,30.1886776757605,-0.2,14.6261682926164
"182",2018-02-21,1.32,1.5,1,6.73221070646721,28.3425075280531,30.0247068315058,30.1952632273506,-0.18,14.6166884859379
"183",2018-02-28,1.39,1.5,0,6.76272950693188,28.3624349552054,30.0259952697647,30.1994974072097,-0.11,14.6166884859379
"184",2018-03-07,1.4,1.5,1,6.73578001424233,28.3899637445342,30.0259952697647,30.2039333805254,-0.1,14.6168047183823
"185",2018-03-14,1.43,1.5,1,6.73221070646721,28.4226629921083,30.0259952697647,30.2093370246727,-0.0700000000000001,14.6168047183823
"186",2018-03-21,1.47,1.75,0,6.76619171466035,28.4375048502467,30.0294539326516,30.2147116173084,-0.28,14.5661971353365
"187",2018-03-28,1.72,1.75,1,6.68210859744981,28.44860391152,30.0294539326516,30.2165972538746,-0.03,14.5661971353365
"188",2018-04-04,1.74,1.75,1,6.75576892198425,28.4591438549471,30.0306402086135,30.2193861729576,-0.01,14.5607780658258
"189",2018-04-11,1.76,1.75,1,6.69826805411541,28.4573943830931,30.0306402086135,30.2190854760993,0.01,14.5607780658258
"190",2018-04-18,1.75,1.75,1,6.60394382460047,28.4289853587923,30.0342736674398,30.2172880217464,0,14.5560135411555
"191",2018-04-25,1.71,1.75,1,6.59030104819669,28.4089750935224,30.0342736674398,30.2139691886269,-0.04,14.5560135411555
