"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread"
"146",2015-03-26,0.12,0.25,1,6.40687998606931,28.021726490837,29.9252456796828,30.0641752619173,-0.13
"147",2015-03-27,0.11,0.25,1,6.36302810354046,28.021726490837,29.9252456796828,30.0641752619173,-0.14
"148",2015-03-30,0.12,0.25,0,6.34388043412633,28.021726490837,29.9252456796828,30.0641752619173,-0.13
"149",2015-03-31,0.2,0.25,0,6.30991827822652,28.021726490837,29.9264126162656,30.0651909111894,-0.05
"150",2015-04-01,0.16,0.25,0,6.43454651878745,28.021726490837,29.9264126162656,30.0651909111894,-0.09
"151",2015-04-02,0.13,0.25,1,6.45990445437753,28.0284697357514,29.9264126162656,30.0660672628227,-0.12
"152",2015-04-06,0.12,0.25,1,6.41999492814714,28.0284697357514,29.9264126162656,30.0660672628227,-0.13
"153",2015-04-07,0.12,0.25,1,6.41999492814714,28.0284697357514,29.9264126162656,30.0660672628227,-0.13
"154",2015-04-08,0.12,0.25,1,6.4085287910595,28.0284697357514,29.9264126162656,30.0660672628227,-0.13
"155",2015-04-09,0.13,0.25,1,6.4393503711001,28.0217258084387,29.9264126162656,30.0651908227649,-0.12
"156",2015-04-10,0.15,0.25,1,6.43133108193348,28.0217258084387,29.9264126162656,30.0651908227649,-0.1
"157",2015-04-13,0.14,0.25,1,6.42971947803914,28.0217258084387,29.9264126162656,30.0651908227649,-0.11
"158",2015-04-14,0.14,0.25,1,6.4150969591716,28.0217258084387,29.9264126162656,30.0651908227649,-0.11
"159",2015-04-15,0.18,0.25,1,6.41673228251233,28.0217258084387,29.9284428544912,30.0669582172075,-0.07
"160",2015-04-16,0.17,0.25,1,6.39859493453521,28.0128907783619,29.9284428544912,30.065819790762,-0.08
"161",2015-04-17,0.16,0.25,1,6.42486902390539,28.0128907783619,29.9284428544912,30.065819790762,-0.09
"162",2015-04-20,0.11,0.25,1,6.4425401664682,28.0128907783619,29.9284428544912,30.065819790762,-0.14
"163",2015-04-21,0.08,0.25,1,6.40687998606931,28.0128907783619,29.9284428544912,30.065819790762,-0.17
"164",2015-04-22,0.07,0.25,1,6.3818160174061,28.0128907783619,29.9284428544912,30.065819790762,-0.18
"165",2015-04-23,0.06,0.25,1,6.39359075395063,28.0019093608033,29.9284428544912,30.0644169614035,-0.19
"166",2015-04-24,0.09,0.25,1,6.38519439899773,28.0019093608033,29.9284428544912,30.0644169614035,-0.16
"167",2015-04-27,0.09,0.25,1,6.39024066706535,28.0019093608033,29.9284428544912,30.0644169614035,-0.16
"168",2015-04-28,0.08,0.25,1,6.42162226780652,28.0019093608033,29.9284428544912,30.0644169614035,-0.17
"169",2015-04-29,0.08,0.25,0,6.35957386867238,28.0019093608033,29.9284428544912,30.0644169614035,-0.17
"170",2015-04-30,0.18,0.25,0,6.44730586254121,27.9908061228638,29.9296918296666,30.064103980749,-0.07
"171",2015-05-01,0.14,0.25,1,6.45519856334012,27.9908061228638,29.9296918296666,30.064103980749,-0.11
"172",2015-05-04,0.1,0.25,0,6.4393503711001,27.9908061228638,29.9296918296666,30.064103980749,-0.15
